line,mating_status,fusion_id,c_i,T_i_1a,direction_cis,direction_trans
r101,M,F10005_SI,0.0151096314,-0.102055147,+,-
r280,M,F10005_SI,-0.016231662,-0.074091389,-,-
r315,M,F10005_SI,0.0132757916,0.0433372348,+,+
r324,M,F10005_SI,0.0264238011,-0.094714797,+,-
r335,M,F10005_SI,-0.003652466,0.0132761236,-,+
r340,M,F10005_SI,0.1190852552,-0.203308138,+,-
r357,M,F10005_SI,-0.02003511,-0.019105205,-,-
r358,M,F10005_SI,0.0132360986,-0.093978886,+,-
r365,M,F10005_SI,-0.002591153,0.0229193165,-,+
r373,M,F10005_SI,0.0191865931,-0.164662656,+,-
r374,M,F10005_SI,0.0424683142,-0.128814647,+,-
r380,M,F10005_SI,0.023725024,0.0098607149,+,+
r427,M,F10005_SI,0.0006673749,-0.070620261,+,-
r491,M,F10005_SI,0.0129966598,0.0021925781,+,+
r517,M,F10005_SI,0.0209982678,0.0905430691,+,+
r732,M,F10005_SI,0.0282861505,0.0591770634,+,+
r737,M,F10005_SI,-0.021194347,-0.112876813,-,-
r799,M,F10005_SI,0.0121371112,0.0322558601,+,+
r820,M,F10005_SI,0.0276284196,-0.119356994,+,-
r85,M,F10005_SI,-0.057407433,0.0409031838,-,+
w114,M,F10005_SI,-0.014634822,0.1555643927,-,+
w38,M,F10005_SI,-0.030018052,0.1788897146,-,+
w47,M,F10005_SI,-0.00070215,0.2051769508,-,+
w52,M,F10005_SI,0.0004399382,-0.104505399,+,-
w55,M,F10005_SI,-0.152480933,0.1100555769,-,+
w59,M,F10005_SI,0.024433208,0.1496155056,+,+
w64,M,F10005_SI,0.0187422539,-0.088830564,+,-
w68,M,F10005_SI,0.0323059375,0.0076915032,+,+
w76,M,F10005_SI,-0.053382491,0.1171559208,-,+
w79,M,F10005_SI,-0.078815209,0.1383061866,-,+
r101,V,F10005_SI,0.0111194965,-0.145071888,+,-
r280,V,F10005_SI,0.0114558074,-0.029412767,+,-
r315,V,F10005_SI,0.0540687261,0.0541790831,+,+
r324,V,F10005_SI,0.0257377699,-0.110937803,+,-
r335,V,F10005_SI,0.0011511156,-0.057196544,+,-
r340,V,F10005_SI,-0.005605189,-0.116063358,-,-
r357,V,F10005_SI,-0.011685534,-0.032395829,-,-
r358,V,F10005_SI,-0.012954224,-0.071847288,-,-
r365,V,F10005_SI,-0.001398002,-0.010795283,-,-
r373,V,F10005_SI,0.0238099165,-0.162651948,+,-
r374,V,F10005_SI,-0.017128738,-0.019175714,-,-
r380,V,F10005_SI,0.0193148056,0.0646114936,+,+
r427,V,F10005_SI,0.0073554499,-0.099059066,+,-
r491,V,F10005_SI,-0.012873903,0.0499670279,-,+
r517,V,F10005_SI,0.0691696483,0.0556846919,+,+
r732,V,F10005_SI,-0.020416828,0.0440533303,-,+
r737,V,F10005_SI,0.0159657129,-0.140311656,+,-
r799,V,F10005_SI,0.0074658527,-0.003986835,+,-
r820,V,F10005_SI,-0.004923539,-0.105068337,-,-
r85,V,F10005_SI,-0.035793035,-0.003819005,-,-
w114,V,F10005_SI,0.1508703894,0.2332063511,+,+
w38,V,F10005_SI,-0.012271038,0.068598873,-,+
w47,V,F10005_SI,0.0055733091,0.181390395,+,+
w52,V,F10005_SI,-0.000121094,-0.116236982,-,-
w55,V,F10005_SI,-0.14325108,0.0790652937,-,+
w59,V,F10005_SI,-0.063686008,0.2300031443,-,+
w64,V,F10005_SI,0.0040961411,-0.093216244,+,-
w68,V,F10005_SI,0.0475790342,0.0299179043,+,+
w76,V,F10005_SI,-0.011283378,0.066362278,-,+
w79,V,F10005_SI,-0.101341586,0.1602066794,-,+
r217,M,F10060_SI,0.0739371496,-0.266629621,+,-
r315,M,F10060_SI,0.0877730908,0.2034699527,+,+
r324,M,F10060_SI,0.0522945816,-0.152436445,+,-
r340,M,F10060_SI,0.134670852,0.2350707843,+,+
r350,M,F10060_SI,0.0553406584,0.0414548764,+,+
r357,M,F10060_SI,0.0675295395,0.198890635,+,+
r358,M,F10060_SI,-0.00907629,-0.047355451,-,-
r360,M,F10060_SI,0.0950902671,0.2237550265,+,+
r365,M,F10060_SI,0.0408096701,0.1008419478,+,+
r373,M,F10060_SI,0.0076213601,-0.373998042,+,-
r374,M,F10060_SI,-0.049141134,-0.010565932,-,-
r380,M,F10060_SI,0.0498984815,-0.094599545,+,-
r427,M,F10060_SI,-0.176731414,-0.035448966,-,-
r491,M,F10060_SI,0.0388621975,-0.179561008,+,-
r517,M,F10060_SI,0.0600549123,0.3935354017,+,+
r732,M,F10060_SI,0.0126391333,-0.12541187,+,-
r737,M,F10060_SI,-0.021645926,-0.229643036,-,-
r799,M,F10060_SI,0.0431686354,-0.088744199,+,-
r820,M,F10060_SI,0.042050898,0.1512765828,+,+
r85,M,F10060_SI,-0.004476693,0.2121519223,-,+
w38,M,F10060_SI,-0.089220745,0.0512651163,-,+
w47,M,F10060_SI,-0.006255586,-0.326792704,-,-
w52,M,F10060_SI,0.0017480782,-0.325335621,+,-
w55,M,F10060_SI,-0.201059275,0.2226051422,-,+
w59,M,F10060_SI,0.0162084097,0.2479715256,+,+
w64,M,F10060_SI,0.0002263383,-0.321108055,+,-
w68,M,F10060_SI,0.0398311172,-0.112347936,+,-
w76,M,F10060_SI,-0.203741739,0.285416506,-,+
w79,M,F10060_SI,-0.15840657,0.1222730129,-,+
r217,V,F10060_SI,0.070902959,-0.251387016,+,-
r315,V,F10060_SI,0.1158689093,0.0969698506,+,+
r324,V,F10060_SI,0.0311725234,-0.099097117,+,-
r340,V,F10060_SI,0.1619793986,0.0938736503,+,+
r350,V,F10060_SI,0.0496127947,0.0724161373,+,+
r357,V,F10060_SI,0.0298336963,0.2408645327,+,+
r358,V,F10060_SI,-0.005639675,-0.036325397,-,-
r360,V,F10060_SI,0.0254427513,0.2489091545,+,+
r365,V,F10060_SI,0.0300841751,0.1228875178,+,+
r373,V,F10060_SI,-0.007886694,-0.3444226,-,-
r374,V,F10060_SI,0.0175977288,-0.058954062,+,-
r380,V,F10060_SI,0.0224137206,-0.077099856,+,-
r427,V,F10060_SI,-0.210623904,0.0298554857,-,+
r491,V,F10060_SI,0.0425649147,-0.083322035,+,-
r517,V,F10060_SI,0.0626508924,0.2671639335,+,+
r732,V,F10060_SI,-0.003159504,-0.112039862,-,-
r737,V,F10060_SI,0.066333172,-0.211448147,+,-
r799,V,F10060_SI,-0.000892256,-0.098627634,-,-
r820,V,F10060_SI,-0.003287073,0.2102591164,-,+
r85,V,F10060_SI,0.0682028133,0.0439721089,+,+
w38,V,F10060_SI,-0.054816377,-0.023942639,-,-
w47,V,F10060_SI,-0.011949695,-0.318028313,-,-
w52,V,F10060_SI,-0.010855837,-0.299988178,-,-
w55,V,F10060_SI,-0.206861279,0.2235056996,-,+
w59,V,F10060_SI,-0.030309233,0.5002027757,-,+
